id,type,text1,text2,text3,notes
SRD_Celika,SHIP,"Fully automated and equipped with an advanced nullpoint barrier system, this tiny brawler is best not to be underestimated. While not as well armed as some other frigates, the defensive capabilities of the Celika make it a difficult to kill opponent whose nullpoint barrier can turn any fight around when used smartly.

While Sylphon RnD insist the ship is controlled by standard automatic control systems as found in fighter drones, rumors say that the ships are controlled by at least gamma level Ais, based on their unusual combat prowess.",,,
SRD_Finis_Astra,SHIP,"More a mobile siege weapon than an actual ship, the Finis Astra is the largest vessel constructed at Sylphon’s own yards in small quantities. Smaller than most capital ships and only lightly armed with conventional weaponry, the chassis is designed for the sole purpose of carrying the massive Götterdämmerung siege laser. Capable of laying waste to a planet’s surface from high orbit, it is best not thought as a mere anti-planetary weapon however. While using the weapon at its full power requires the ship to power down most other systems including weapons, shields and drives, it can fire at a lower power setting in space combat, still capable of annihilating smaller ships in a single blast.

The exact purpose of this weapon is subject to a lot of speculation as Sylphon have never made any attempt at expanding their influence past their few base facilities and there are no known sales of Finis Astras to other parties.",,,
SRD_Omega_Aeterna,SHIP,CLASSIFIED,,,
SRD_Tarima,SHIP,"Constructed around its pair of heavy Veritas gauss drivers this destroyers boasts great versatility thanks to the weapons’ unique functionality. Otherwise an unremarkable ship, the Tarima lives and dies by its commander’s ability to leverage these powerful weapons to good effect.",,,
SRD_Catharsis,SHIP,"More expensive to build than most frigates, this overengineered and armed to the teeth fighter is capable of dominating an airspace all by itself. Something it often has to, given the fragility of most other Sylphon-produced fighters.",,,
SRD_Spectral,SHIP,"A tiny drone fighter, designed to be easily replaced, it isn’t very good at anything and generally only found in integrated autofactories of Sylphon vessels that lack the hangar space for proper strike craft.",,,
SRD_Okarra,SHIP,"A new heavy cruiser employing nanolaminate armor, the Okarra is far sturdier than most Sylphon vessels. Designed as part of a three ship series to test the viability of the recently developed polarizer for nanolaminate armor in combat, the ship has proven itself since and entered regular production. While the complex polarizer system doesn't allow the installation of a Sylphon-grade shield generator, the standard shielding is still sufficiently efficient in combination with the unusually heavy armor for an SRD vessel.",,,
SRD_Etrika,SHIP,"A heavy destroyer from a new line of nanolaminate armor vessels, this unusual Sylphon design completely forgoes the usual high efficiency shield generator for layers of advanced armor and an advanced armor polarizer system. Taking advantage of the lack of a flux-hungry shield, the Etrika is a heavily overgunned destroyer that relies on its ability to quickly overwhelm enemy ships through its offensive capabilities before it can sustain heavy damage.",,,
SRD_Catora,SHIP,"The smallest vessel of Sylphon's new line of armored ships, replacing the usual efficient shielding with newly developed nanolaminate armor that can be polarized to make it near impenetrable for short amounts of time, it boasts an impressive array of small weapon mounts, using the flux capacity freed up by the lack of shielding. While the ship lacks staying power, its ability to charge at the enemy, guns blazing, to crush them in a single assault is not to be underestimated.",,,
SRD_Hubris,SHIP,"An older design predating the common use of nullspace conduits in Sylphon vessels, the Hubris is a reliable support carrier that remains in use with the SRD for lack of alternatives more than anything. With nullspace conduits requiring large amounts of internal space and their benefits not being as synergetic with carrier applications, the Hubris has remained a solid choice since its introduction and is commonly seen supporting Sylphon's newer vessels from behind the frontlines.",,,
SRD_Mariana_cargo,SHIP,"Freighter variant of the Mariana heavy transport.

A massive modular transport vessel, the Mariana itself is mostly a structural frame containing drive units, loading hangars and crew quarters. This basic frame can be docked with one of several massive functionality units to convert the ship into a freighter, tanker or other type of logistics vessel. While it ultimately suffers in raw efficiency compared to vessels built for a singular purpose, its versatility is highly valued by Sylphon's logistics devision and the enhanced defenses compared to most other ships of its class has proven a great boon at times.",,,
SRD_Mariana_fuel,SHIP,"Tanker variant of the Mariana heavy transport. 

A massive modular transport vessel, the Mariana itself is mostly a structural frame containing drive units, loading hangars and crew quarters. This basic frame can be docked with one of several massive functionality units to convert the ship into a freighter, tanker or other type of logistics vessel. While it ultimately suffers in raw efficiency compared to vessels built for a singular purpose, its versatility is highly valued by Sylphon's logistics devision and the enhanced defenses compared to most other ships of its class has proven a great boon at times.",,,
SRD_Cicerone,SHIP,An advanced support drone built around a modified clemency class discharge emitter making them highly effective against hostile strike craft and missiles.,,,
SRD_Eos,SHIP,A powerful drone fighter with a pair of embrace cyclers.,,,
SRD_Ascordia,SHIP,"One of the most recent additions to the Sylphon roster, the Ascordia is an advanced automated destroyer that can punch far above its weight class. This power comes at an appropriate pricepoint however, making the ship a rare sight.",,,
SRD_Valestri,SHIP,An overgunned heavy cruiser that relies heavily on its nullspace shunt system to maintain its assault due to a massively overburdened flux system.,,,
SRD_Zodiark,SHIP,CLASSIFIED,,,
SRD_Buffalo,SHIP,"A fully automated version of the common Buffalo, allowing Sylphon fleets to maintain their supply lines with less personnel. An ability made mandatory by the group’s constant lack of manpower.",,,
SRD_Frelia,SHIP,"One of the newest 5th generation ship designs recent put into service by Sylphon, the Frelia is a powerful battlecarrier, capable of providing Sylphon fleets with fighter support aswell as acting as a respectable frontline fighter. The fully automated hangar bays were designed specifically to service drone fighters, in compliance with Sylphon's low manpower requirements. While this limits outfitting options, the specialized bays work more efficiently than those found on regular carriers.

The first Sylphon carrier to be outfitted with nullspace conduits, the Frelia is also the first vessel to employ nulltech-equipped drones, carrying a wing of Skallic Drones. Able to deploy these powerful capacitor-powered barrage drones within firing range of enemy vessels via nullspace travel, it is capable of devastating fighter strikes before recalling the drones to recharge. While currently incompatible with bombers carrying volatile payloads, a future application of nulltech to a bomber such as the new Sadri would prove a truly fearsome prospect.",,,
SRD_Sadri,SHIP,"A newly developed torpedo bomber carrying a single Iphrail torpedo. While decently shielded, its fairly large frame makes it an easier target for hostile PD.",,,
SRD_Maris,SHIP,"Equipped with a single Lucidas beam emitter, the Maris is capable of locking down and disabling smaller ships, making them easy prey.",,,
SRD_Sivva,SHIP,"Armed with a downsized stricture beam, the Sivva is purpose-built for stripping even larger battleships of armor and soften them up for their allies. Their effectiveness against shielded targets is lackluster however.",,,
SRD_Eolia,SHIP,"Part of the 5th generation carrier initiative, the Eolia was designed from the ground up to eventually replace the aging Hubris-class battlecarrier. Optimized for drone fighters, it surpasses the Hubris in bay capacity, but is incapable of being equipped with manned fighter craft.",,,
SRD_Tilia,SHIP,"A small 5th generation vessel, focusing entirely on projecting fighter power on the battlefield. By equipping one of the bays with a specialized nanoforge for Maris-class disabler fighters, it was possible to make enough room for the ship to service a total of 3 fighter wings. While highly efficient, it is limited to drone fighters as the bays lack any way for pilot access.",,,
SRD_Replekia,SHIP,"A prototype battleship developed by Sylphon during the 4th generation nanolaminate armor project. Originally meant as the top of this new line of ships, the design was ultimately discarded due to immense cost. How many of these prototype vessels were actually constructed is unclear, but they can rarely be seen within Sylphon systems.

Designed for broadside combat, employing its enhanced defenses, the Replekia is a rather unusual design by Sylphon standards, but is undeniably effective and one would wonder how a strike group of these vessels would fare in combat.",,,
SRD_Metafalica,SHIP,"Unknown to many, the design of the Replekia wasn't a new development as part of the nanofilament research initiative like the smaller vessels that came from said project, rather its design is based on a now abandoned prototype battleship.

The Metafalica was designed to be the new core of the growing Sylphon fleet roster as part of the first wave of warships designed for full Nulltech integration. Equipped with every new piece of technology the corporation had to offer at time of design, the prototype ship was a true marvel to behold. Mounting three advanced variable ammunition cannons, capable of adapting to any combat situation and an advanced counterforce-charged armor, it seemed without question that the Metafalica would be dominating any battle Sylphon would find itself involved in. Reality set in soon after however as the project proved too ambitious for its own good. Estimated production costs for the new vessel proved exorbitant and the Equilibrium it had been developed alongside proved the more efficient alternative for a new battleship. The project was scrapped and the 4 built prototypes were put in storage where they are said to remain to this day. 

Rumours however say that at least one of the original prototypes was stolen by a former member of the board of directions after a disagreement over Sylphon's inaction over a [REDACTED] attack on a nearby inhabited system, supposedly having taken the ship to wage their own personal war with. Multiple reports have surfaced in recent years of a ship matching the Metafalica's rough description active in the outer fringes of [REDACTED] space, acting as part of a seemingly growing hunter fleet, engaging [REDACTED] on sight without mercy.",,,
SRD_Eagle_P,SHIP,"Based on the Dread Eagle, the Scourge Eagle is an outcast-modified design, adapting it to comply with outcast combat doctrine. With most of its mounts upgraded to support ballistic weapons and the addition of counterforce armor, this reliable cruiser has become more sturdy than its base model. The added mass however has affected its mobility, in particular limiting the range of its signature jaunt drive. Reconfigured to account for this, the new Slip Drive tries to make up for this limited range with a set of fast-charging capacitors.

As many Dread Eagles were being phased out to be replaced with newer cruiser designs at the time of the exodus, the Outcast took many of these ships with them. The ships were later adapted for combat against [REDACTED] with upgrades based on the experimental technologies used in the Metafalica.",,,
SRD_Celika_P,SHIP,"A favorite of many Sylphon commanders, many Celika-class drone frigates found their way into the Outcast navy. In addition to the usual upgrades with hybrid mounts and counterforce-armor, the Celika Rel also replaces its signature nullpoint barrier with a more offensive nullspace shunt system, instead relying on the improved armor for protection.",,,
SRD_Myrigo,SHIP,Advanced fighter-bomber carrying 6 Harrow-type missiles capable of engaging targets of any size. Also carries a small PD beamer for support.,,,
SRD_Misja,SHIP,"A versatile drone employed by the Outcast, coming in configurations for various support roles.",,,
SRD_Nalka,SHIP,"Outfitted with a pair of downsized rail accelerators, the Nalka is designed to suppress shielded targets in advance of an assault.",,,
SRD_Infel,SHIP,"A high-performance fighter designed for the Replekia, its autofactory is fully integrated and incompatible with other ships. ",,,
SRD_Vril,SHIP,"An advanced frigate, recently put into service by Sylphon RnD, its true capabilities are still unknown.
",,,
SRD_Synastry,SHIP,"The Synastry is an advanced EWAR-Cruiser rarely seen in Sylphon's fleets. Their reliance on alpha-level AI cores as central control unit makes these ship expensive to build and difficult to find willing operators for. Their effectiveness, however, cannot be denied as the Synastry is capable of providing a wide range of fleet support in and out of battle.

The first of these vessels were initially constructed in the early years after the First AI War from the recovered hulls of Brilliant-class cruisers. Originally intended as a makeshift surveying vessel in this new post-collapse world, the Synastry fulfilled its role better than initially expected. Following this initial success, a number of overhauls for the class were greenlit to turn what was once a makeshift vessel into a military-grade EWAR platform. While the increased complexity of these extensive upgrades eventually necessitated the integration of alpha-level cores to provide enough processing power to handle all its systems, the increased difficulty of finding willing alphas was a price well worth paying.",,,
SRD_Vetra,SHIP,"A basic missile drone, carrying a single Raphiel-class missile. Simple but effective when supporting other strike craft to soften up targets.",,,
,,,,,
SRD_Fulgent,SHIP,"A remnant of the autonomous AI fleets developed by the TriTachyon Corporation. Illegal under Domain (and Hegemony) law, and an abomination to the Church of Galactic Redemption, the First AI War saw these creations purged from the Sector. So the official histories say.

Host to an endless swarm of drone fighters, the Iridescent is a flying factory, projecting devastating fighter screens across any battle. Housing the fighter complement of a dedicated supercarrier, one wouldn't expect this ship to have much room for direct firepower. A wrong thought.",,,
,,,,,
SRD_Sura_Tel,SHIP,"""You should not be here. Return to your wretched realm or be smitten by nihility.""",,,
,,,,,
# Weapons,,,,,
,,,,,
,,,,,
SRD_equity,WEAPON,"Built into the core of the Rakia, this massive cannon fires a powerful blast with a large, arcing EMP-charge to quickly cripple ambushed targets, even when shielded.",Strike,,
SRD_harrow_alpha,WEAPON,"Integrated into the Rakia’s side hull and equipped with a powerful missile autofactory, this missile battery provides a reliable source of explosive firepower.",Strike,,
SRD_harrow_beta,WEAPON,"Integrated into the Rakia’s side hull and equipped with a powerful missile autofactory, this missile battery provides a reliable source of explosive firepower.",Strike,,
SRD_harrower,WEAPON,"A massive pair of missile arrays exclusive to the Equilibrium, equipped with integrated autofactories.",Fire Support,,
SRD_paratach,WEAPON,"Hyper agitated particle beam. Firing in short bursts that effectively melt armor, but lack pressure against shields.",Strike,,
SRD_goetterdaemmerung,WEAPON,"The pinnacle of Sylphon weapons technology, the Götterdämmerung is a weapon without equal. A weapon the size of a ship, it accounts for 80 percent of the Finis Astra’s mass and can only fire with all power from shields and engines diverted to it.",Annihilation,,
SRD_offenbarung,WEAPON,"A fully integrated type of torpedo tube with a small autofactory, their complexity requires these weapons to be built into a ship’s hull directly.",Strike,,
SRD_skalla,WEAPON,"A unique plasma weapon, firing streams for agitated plasma rather than concentrated bolts, it is often mistaken for a beam cannon by enemy ships.",Assault,,
SRD_venn,WEAPON,"A modified version of the Burst PD laser, firing a trio of high energy beams.",Point Defense,,
SRD_seprikata,WEAPON,"Utilizing a unique rotating firing pattern, this beam is capable of effectively pressuring shields. The lack of a focal point however limits its effectiveness against armor.",Support,,
SRD_zealot,WEAPON,Two pairs of high-powered rail accelerators linked together into a capable anti-shield weapon.,Support,,
SRD_clemency,WEAPON,"Discharges a powerful bolt of energy. While the chaotic nature of the discharge leaves it mostly ineffective against shielded or armored targets, it causes catastrophic damage to exposed internals and electronics.",Point Defense,,
SRD_evocation,WEAPON,"An oversized version of the Clemency Pulse unique to the Hymnon. Thanks to the massive capacitor banks built into the ship it is capable of firing a much more focused charge than its smaller sibling, allowing it to effectively combat shielded and armored targets.",Fire Support,,
SRD_adloquium,WEAPON,"An advanced railgun firing self-igniting plasma slugs. Using excess energy from the first two shots of a burst, the third shot can be supercharged to deliver a powerful finishing blow, often surprising inexperienced captains as their shields overload.",Assault,,
SRD_raphiel,WEAPON,"Heavy kinetic impact missiles based on the common Harpoon. Trading the high explosive warhead for a more powerful thruster, it delivers high kinetic damage and an EMP-blast on impact.",Fire Support,,
SRD_veritas,WEAPON,"While seemingly nothing more than an oversized Gauss Cannon, this unique weapon is designed to fire specialized two-stage kinetic shells with hyper-compacted explosives capable of bursting open armor with surprising ease.",Assault,,
SRD_raphiel_pod,WEAPON,"Heavy kinetic impact missiles based on the common Harpoon. Trading the high explosive warhead for a more powerful thruster, it delivers high kinetic damage and an EMP-blast on impact.",Fire Support,,
SRD_embrace,WEAPON,"An advanced energy cycler, discharging excess energy with every 5th blast for a more powerful blast.",Assault,,
SRD_dignity,WEAPON,"Based on the common pulse laser, this modified variant uses excess energy from the firing process to supply a pair of downsized microblasters for superior efficiency.",Fire Support,,
SRD_exalt_3,WEAPON,"Partially laser-targeted missile battery. Fires in LRM, MRM or SRM mode depending on laser-measured range. Defaults to LRM mode when unable to acquire a target.",Fire Support,,
SRD_exalt_6,WEAPON,"Partially laser-targeted missile battery. Fires in LRM, MRM or SRM mode depending on laser-measured range. Defaults to LRM mode when unable to acquire a target.",Fire Support,,
SRD_exalt_12,WEAPON,"Partially laser-targeted missile battery. Fires in LRM, MRM or SRM mode depending on laser-measured range. Defaults to LRM mode when unable to acquire a target.",Fire Support,,
SRD_stricture,WEAPON,"Hyper agitated particle beam. Firing in short bursts that effectively melt armor, but lack pressure against shields.",Strike,,
SRD_charity,WEAPON,Supercharged heavy blaster variant. Uses a nullspace capacitor to store charges.,Strike,,
SRD_benediction,WEAPON,"Equipped with resonating miniature entropy amplifiers, the warhead of the benediction destabilizes a target for a short time after impact, allowing successive hits to become more destructive.",Strike,,
SRD_selene,WEAPON,"Launches a long range torpedo into nullspace, allowing it to travel most of the way protected from enemy fire.",Fire Support,,
SRD_benison,WEAPON,Advanced railgun firing high explosive armor penetrator rounds.,Assault,,
SRD_largesse,WEAPON,Modulating pulse beam. The ultimate general purpose beam weapon.,Fire Support,,
SRD_divinity,WEAPON,A superheavy pulse cannon with high damage and surprising efficiency. This however comes at the cost of lackluster range.,Assault,,
SRD_lucidas,WEAPON,"A unique ion beam array, projecting a rotating spread of beams to spread EMP-damage over a wider area.",Support,,
SRD_iphrail,WEAPON,A large torpedo carrying a crude but effective nullpoint warhead.,Strike,,
SRD_indulgence,WEAPON,"An extremely efficient weapon, this diffusion pulse gun possesses superior shield suppression ability for an energy weapon, but suffers from its limited range and inability to break through armor.",Fire Support,,
SRD_excogitation,WEAPON,"A lightweight alternative to the AM blaster. While significantly less powerful per burst, the strain on the flux grid is equally reduced.",Strike,,
SRD_enkindle,WEAPON,"Based on the salamander, this support missile trades some of its EMP damage and range for a faster engine to better avoid PD fire.

Some say this modified model was developed out of a desire for a support missile fitting the Sylphon aesthetic. While unlikely, these kinds of excentricities aren't unheard of within the Sylphon board of directors.",Utility,,
SRD_phira_burst,WEAPON,"Based on the Purgatory, the Metafalica's main cannons are outfitted with a unique variable ammo system, allowing it to adapt to most combat situations. While the expansive mechanism makes it impossible to swap these for other weapons, their versatility hardly ever makes that necessary.",Universal,,
SRD_vacuity,WEAPON,"Customized by Sylphon for slightly increased range, the vacuity is a cheap alternative to the expensive Disavowal.",Point Defense,,
SRD_veda,WEAPON,"A small repeating rail driver, firing solid metal spikes at high velocity. Highly effective against shields.",Fire Support,,
SRD_arphage,WEAPON,"An upscaled version of the Veda, the Arphage replaces its ammunition with an armor piercing round, carrying a plasma warhead to pierce heavy armor and breach it via internal detonation.",Strike,,
SRD_paja,WEAPON,A standard point-defense weapon as used by Outcast vessels.,Point Defense,,
SRD_arciel,WEAPON,"A massive rail driver, firing heavy metal spike equipped with a small plasma warhead for somewhat increased effectiveness against armor.",Fire Support,,
SRD_qoga,WEAPON,"Downscaled from the Ar Ciel, this medium-sized rail driver fires high velocity metal spikes equipped with small plasma warheads.",Fire Support,,
SRD_harmonius,WEAPON,Massive plasma drivers boasting an atypically long range for weapons of their kind.,Fire Support,,
SRD_vedra,WEAPON,"The Vril's integrated PD-solution. While a simple design, its beams are of a high intensity for PD weapons and often employed offensively at short range.",,,
SRD_apoc,WEAPON,"A high-powered multi-spectrum scanner, linked to the Synastry's EWAR suite. While primarily designed for long distance scans, it can also be utilised in combat. The intensity of the scanning beams alone makes them a destructive weapon, but the scanner's ability to quickly analyze a target's structure and transmit weakpoint data to allies is its real benefit.",,,
,,,,,
,,,,,
# Ship Systems,,,,,
,,,,,
,,,,,
SRD_creeper_device,SHIP_SYSTEM,"Jump to target destination through nullspace. We don’t know how it works, either, but it sure as hell creeps us out.",Movement,Jump to target destination through nullspace.,
SRD_nullspace_shunt,SHIP_SYSTEM,"Temporarily store flux in nullspace, halving flux cost of all weapons.",Assault,"Temporarily store flux in nullspace, halving flux cost of all weapons.",
SRD_nullspace_skip,SHIP_SYSTEM,Slip through nullspace with enhanced mobility.,Movement,Slip through nullspace with enhanced mobility.,
SRD_armor_polarization,SHIP_SYSTEM,"Harden armor, reducing damage taken by 90% for 2 seconds.",Defense,"Harden armor, reducing damage taken by 90% for 2 seconds.",
SRD_accelerated_capacitors,SHIP_SYSTEM,Divert all power to built-in weapons to boost rate of fire while disabling all other weapons.,Assault,Divert all power to built-in weapons to boost rate of fire while disabling all other weapons.,
SRD_nullpoint_barrier,SHIP_SYSTEM,Absorb 70% of incoming damage to shields and discharge it as energy blasts.,Defense,Absorb 70% of incoming damage to shields and discharge it as energy blasts.,
SRD_flux_exchanger,SHIP_SYSTEM,"By utilizing the wide-area nullspace effect generated by the Nullspace Soother, this Flux Exchanger effectively ""transfers"" flux from affected conduits and into nullspace, consuming energy normally reserved for other systems to do so. Once the counter-forces of this flux exceed the what the Exchanger can handle, the flux is released into nullspace in a frontal cone; any ship without the ability to compensate for nullspace counterforces experience unnatural bolts of lightning that fry machinery and man alike as the potential energy of the stored flux is channeled through its circuitry. ",Support,Absorbs flux from nearby Nullspace Conduits. Unleashes the flux as damaging lightning once deactivated.,
SRD_nullspace_anchor,SHIP_SYSTEM,Diverts engine and shield power to the Götterdämmerung and anchors ship in place. Prevents all movement and shield deployment but enables the Götterdämmerung to fire.,Siege,Anchor ship in place and activate Götterdämmerung superlaser.,
SRD_skallic_drones,SHIP_SYSTEM,"Temporarily deploys 6 Skallic Drones, equipped with single-barrel purgatory cannons. Drones are recalled after a short period to have their weapon capacitors recharged.",Assault,"Temporarily deploys 6 Skallic Drones, equipped with single-barrel purgatory cannons.",
SRD_variable_ammo,SHIP_SYSTEM,"Switch between 3 ammo types used by main cannons. Temporarily locks after firing.

Type-3 Burst shells are high explosive proximity fuse shells, effective as PD and against armor.
Impact Driver rounds possess high kinetic damage, ideal for shield suppression.
Shock Cannon mode fires energy beams with high damage and EMP, effective against all targets.",Assault,Switch between 3 ammo types used by main cannons. Temporarily locks after firing.,
SRD_slip_drive,SHIP_SYSTEM,Slip a short distance through nullspace.,Movement,Slip a short distance through nullspace.,
SRD_nullfield_catalyst,SHIP_SYSTEM,"Project nullfield around fighters, boosting their agility and making them intangible.",Utility,Temporarily give fighters nullspace flight,
,,,,,
,,,,,
# Campaign,,,,,
,,,,,
sylphon,FACTION,"Once the Sylphon Institute for AI research, this small corporation has become a major technology contractor in the sector, providing technical support in many areas to most factions of the sector. From fleet maintenance services to state-funded military development projects, Sylphon RnD have various long-running contracts with the Persean Leage, Sindrian Diktat, Tri-Tachyon and many independent governments. While politically insignificant, Sylphon have attracted the ire of the Hegemony and Luddites across the sector due to a seemingly liberal use of AI technology.

Secretive in nature, Sylphon are based on the outer edge of the sector, avoiding involvement in sector politics and restricting themselves to a limited number of facilities that allow them independent operation without attracting too much attention. Especially in recent years the corporation has been focusing on developing a new set of exotic technologies never before seen in the sector. Some speculate that this new “Nulltech” has prompted a worrying military buildup of the faction given an ever expanding roster of new and exotic ship designs spotted around Sylphon facilities and planets, but such claims have been dismissed by most factions given the small corporation’s lack of manpower, making it highly unlikely to ever pose a true military threat.",,,
,,,,,
,,,,,
SRD_planet_talloss,CUSTOM,A small Tri-Tachyon agricultural outpost.,,"The starport of Tallos is dominated by massive cargo haulers being loaded with food to be shipped to all corners of the sector. On approach you could observe the vast agricultural facilities which now seem to span to all directions past the horizon, only interrupted by the massive planetary defense cannons. 

Most business on the planet revolves around its massive agricultural complex that is responsible for feeding many of the less hospitable worlds of the sector. Ironically the expansive fields have left little space for comfortable living on this lush world.",
SRD_planet_castrum,CUSTOM,"A seemingly dead planet, harboring below its surface the industrial center of Sylphon.",,"As you approach the planet it seems dead and empty, the spaceport dwarfed by endless nothingness around it. After landing, your ship is transported below surface on a massive elevator platform and before you the massive geofront unfolds, an industrial metropolis below the dead surface, just one of many that spread across the planet.",
SRD_planet_mhach,CUSTOM,"Unremarkable in most respects, Mhach serves as the primary source for fuel used by Sylphon.",,"Host to many valuable resources, Mhach is one of the more prized possessions of Sylphon RnD. Once a Tri-Tachyon controlled planet it was supposedly acquired in exchange for access to a set of new experimental technologies developed by Sylphon.",
,,,,,
SRD_ozma_station,CUSTOM,What once started as an orbital gas refinery to fuel Sylphon fleets has over years developed into the primary point of contact for Sylphon with other corporations and independent pilots.,,"Built around a gas refinery, Ozma station seems like a collision of two worlds. An industrial station surrounded by a shining silver ring of commercial and civilian modules, time has transformed this place into a free port bristling with activity. Ships arrive and leave by the hour from both the public ports and Sylphon’s logistics docks, some of designs that most captains have never laid eyes on before.",
SRD_sylpheed_station,CUSTOM,"The Sylphon RnD headquarters, orbiting the dead moon Praetorium currently, it is said the whole station is capable of interstellar travel should the need arise.",,"A veritable space fortress, the massive headquarters of Sylphon RnD welcome you with an unexpected friendliness. Stepping out of your ship you enter the white halls of the station, an almost surreal place in its almost alien design. Fractal images decorate the walls and robotic guides stand ready to assist you with any business.",
,,,,,
SRD_rofocale_relay,CUSTOM,"A modified comms relay hidden deep within the belt, keeping Sylpheed Station in contact with the core worlds.",,"A modified comms relay hidden deep within the belt, keeping Sylpheed Station in contact with the core worlds.",
,,,,,
