name,id,tier,rarity,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,short,sprite
,,,,,,,,,,,,,,,,,
Modular Nullspace Conduits,SRD_modular_nullspace_conduits,1,,"special, req_spaceport","Special, Requires Dock",8000,,,,3,5,10,20,data.scripts.hullmods.SRD_ModularNullspaceConduits,"A smaller, modular implementation of nullspace skimming technology. By using the ship's already-existing flux conduits for cooling and counter-balancing, it uses up only a fraction of the normal space required by such a device, but is significantly less efficient as a result.

Functions as %s, but does not grant all the bonuses such conduits normally entail. The ship can skim nullspace, increasing its speed by up to %s while travelling in a straight line, but it takes %s as long to reach that speed compared to normal conduits.

Also reduces the damage of harmful nullspace forces by %s.

Incompatible with %s",Increases speed when traveling in a straight line.,graphics/sylphon/hullmods/SRD_modular_nullspace_conduit.png
Sylphon Prototype: Micro Nullspace Shunt,SRD_prototype_miniature_nullspace_shunt,3,,"special, req_spaceport","Special, Requires Dock",18000,,,,5,10,25,50,data.scripts.hullmods.SRD_PrototypeMiniatureNullspaceShunt,"A highly advanced prototype which allows a ship to 'dump' excess soft flux into nullspace, allowing a much higher dissipation rate than normal.

Allows the ship to increase flux dissipation by %s through %s. The hard flux returned is much lower than the soft flux consumed however, generating %s.

Requires the ship to have some form of %s installed. A ship can only have a single %s.",Converts soft flux to hard flux.,graphics/sylphon/hullmods/SRD_prototype_miniature_nullspace_shunt.png
Sylphon Prototype: Nullpoint Shield,SRD_prototype_nullpoint_shield,3,,"defensive, shield, req_spaceport","Shields, Requires Dock",18000,,,,5,10,25,50,data.scripts.hullmods.SRD_PrototypeNullpointShield,"An attempt at downsizing the Nullpoint Barrier to a more manageable size. While much less efficient than the original, this specialized emitter is capable of supporting a thin but deep nullspace wake just outside the shield for lengthened periods of time while only generating marginally more flux than a normal shield emitter would.

Shield damage taken is reduced by %s, and %s. Absorbed damage is periodically discharged as bolts of nullspace-lightning at any target in front of the ship. This effect however %s Note that due to how volatile the emitter is, the modification requires the shield to be %s with its arc reduced by %s. Furthermore the strain on the shield generator increases shield upkeep by %s.

Incompatible with most shield-related hullmods. Requires the ship to have some form of %s installed. A ship can only have a single %s.",Installs a passive Nullpoint Barrier.,graphics/sylphon/hullmods/SRD_prototype_nullpoint_shield.png
Sylphon Prototype: Local Soother,SRD_prototype_local_stabilizer,3,,"special, req_spaceport","Special, Requires Dock",15000,,,,8,15,22,30,data.scripts.hullmods.SRD_PrototypeLocalStabilizer,"Developed for fleets where bringing a Seresvalla is not logistically possible, this experimental device creates a tiny ""bubble"" of stable nullspace around the ship, improving the performance of the ship's %s drastically.

Provides all the normal benefits of a %s, increasing manoeuvrability by %s and increasing the bonuses from nullspace-skimming by %s, but does not confer this bonus to other ships. Also increases the ship's burn level by %s.

Cannot be mounted if a full %s exists. Requires the ship to have some form of %s installed. A ship can only have a single %s.",Installs a personal Nullspace Soother.,graphics/sylphon/hullmods/SRD_prototype_local_stabilizer.png
,,,,,,,,,,,,,,,,,
Outcast Engineering,SRD_outcast_engineering,2,,special,Special,9999,,TRUE,,0,0,0,0,data.scripts.hullmods.SRD_OutcastEngineering,"While very similar in nature to regular Sylphon designs, this specialized ship has some key differences that sets it apart from its peers.

Counts as %s, and gives most of the regular benefits those provide: increases top speed by up to %s while traveling in a straight line. While overloading, %s. 

However, instead of linking the conduit system to the ship's reactor, this ship utilizes the system's counter-forces to strengthen its armor. The ship's armor and hull takes up to %s less damage, and %s less EMP damage, based on the ship's flux. This bonus increases the higher the ship's flux gets, starting at %s and maxing out at %s.

Also reduces the damage of harmful nullspace forces by %s.",Increases speed when traveling in a straight line. Bonus armor damage reduction at high flux. Damages anything nearby when overloading.,graphics/sylphon/hullmods/outcast_engineering.png
Variable Ammo Loader,SRD_variable_ammo_loader,,,offensive,Weapons,,,TRUE,,0,0,0,0,data.scripts.hullmods.SRD_VariableAmmoLoader,"The Replekia has advanced ammo-switchers built into its main batteries, allowing the three Phira cannons on the ship to swap between different modes via the ship's shipsystem:

Shock Cannons are the default mode; they have %s, deals %s more damage than the stat card indicates, deals %s damage and also causes %s on direct hull hits.

Impact Driver is the dedicated anti-shield option; they deal %s less damage than the stat card indicates but deals %s damage.

Type-3 Shells are designed to engage smaller, harder-to-hit targets. They deal %s, but otherwise function as the stat card indicates.",Main cannons can switch ammo types,graphics/sylphon/hullmods/SRD_variable_ammo.png
,,,,,,,,,,,,,,,,,
HULLMOD CONFLICT,SRD_IncompatibleHullmodWarning,,,,,,,TRUE,,0,0,0,0,data.scripts.hullmods.SRD_IncompatibleHullmodWarning,"%s, this hullmod conflict with another previously installed or built-in hullmod.",,graphics/icons/intel/investigation.png
EXTRA FIGHTER BAYS 1,SRD_hiddenmod_extra_carrier_bays_1,,,,,,,TRUE,TRUE,0,0,0,0,data.scripts.hullmods.SRD_FAKEMOD_HiddenExtraCarrierBays1,YOU SHOULDN'T BE SEEING THIS.,,graphics/icons/intel/investigation.png
EXTRA FIGHTER BAYS 2,SRD_hiddenmod_extra_carrier_bays_2,,,,,,,TRUE,TRUE,0,0,0,0,data.scripts.hullmods.SRD_FAKEMOD_HiddenExtraCarrierBays2,YOU SHOULDN'T BE SEEING THIS.,,graphics/icons/intel/investigation.png
